Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees;Milieu;Polluant;Quantite
2422103;Elevage de la Ferme MALIN;3,34E+13;Ferme de Malin;2120;LESQUIELLES-SAINT-GERMAIN;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;692374;2549237;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.9326422425, 3.62135959339;Air;Ammoniac (NH3);65200
2559061;SARL DIANE ELEVAGE;5,22E+13;12 RUE DE L ETANG PONT A BUCY;2270;NOUVION-ET-CATILLON;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;682726;2523485;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.7027783917, 3.48196517088;Air;Ammoniac (NH3);84800
2559851;SA DIANE AGRI;3,93E+13;;2270;NOUVION-ET-CATILLON;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;682726;2523485;013Z;Culture et élevage associés;;;49.7027783917, 3.48196517088;Air;Ammoniac (NH3);57300
2650115;GAEC des Hayettes - MOREAU;4,28E+13;Rue des Hayettes;2260;ROCQUIGNY;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;718056;2559688;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;50.0221549425, 3.98152961664;Air;Ammoniac (NH3);178700
2650303;SCEA des Basses hayettes;4,28E+13;;2260;ROCQUIGNY;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;718056;2559688;;non renseigné;;;50.0221549425, 3.98152961664;Air;Ammoniac (NH3);13000
2813030;EARL DE LA BREZE;3,41E+13;5 RUE DE LA BREZE;2240;VILLERS-LE-SEC;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;683826;2531752;0111Z;Culture de céréales (à  l'exception du riz) -  de légumineuses et de graines oléagineuses;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.7768621507, 3.49888586002;Air;Ammoniac (NH3);60000
3025109;INTEROVO Avicole France;5,08E+13;Les Grandes Chaumes;3340;BESSAY-SUR-ALLIER;ALLIER;AUVERGNE-RHONE-ALPES;678800;2160900;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.4435567634, 3.36214726043;Air;Ammoniac (NH3);159300
3043107;SCEA LA CROIX BOUTET;3,99E+13;La Croix Boutet;3110;BROUT-VERNET;ALLIER;AUVERGNE-RHONE-ALPES;672300;2132500;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.1887923712, 3.27315459215;Air;Ammoniac (NH3);68800
3146008;GAEC DE ROOVER;3,38E+13;GAEC DE ROOVER;3320;LIMOISE;ALLIER;AUVERGNE-RHONE-ALPES;654745;2186650;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.6776062773, 3.05213240814;Air;Ammoniac (NH3);198400
3197077;CHENE Alain;4,94E+13;La Loge Pailleton;3340;NEUILLY-LE-REAL;ALLIER;AUVERGNE-RHONE-ALPES;684100;2163057;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.462318515, 3.43151079464;Air;Ammoniac (NH3);77100
3197999;EARL CHENE Alain;4,94E+13;Les Bourses;3340;BESSAY-SUR-ALLIER;ALLIER;AUVERGNE-RHONE-ALPES;678800;2160900;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.4435567634, 3.36214726043;Air;Ammoniac (NH3);71800
3230063;CORNIL Jacky;3,32E+13;Les Landes;3300;SAINT-ETIENNE-DE-VICQ;ALLIER;AUVERGNE-RHONE-ALPES;692488;2131437;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.1767648077, 3.53443508421;Air;Ammoniac (NH3);20800
3235999;EARL DE BARBE SECHE;4,03E+13;Barbe sèche;3150;SAINT-GERAND-LE-PUY;ALLIER;AUVERGNE-RHONE-ALPES;690637;2140449;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.2580876657, 3.51220953395;Air;Ammoniac (NH3);39300
3237999;AUVERGNE-RHONE-ALPES POUSSINS;8,00E+13;17 -  Route des Chaumes;3140;SAINT-GERMAIN-DE-SALLES;ALLIER;AUVERGNE-RHONE-ALPES;667793;2131456;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.1798678929, 3.21462252072;Air;Ammoniac (NH3);94500
4116006;EARL LA CABANNE;4,04E+13;;4190;LES MEES;ALPES-DE-HAUTE-PROVENCE;PROVENCE-ALPES-COTE D'AZUR;891696;1898863;012G;Elevage de volailles;;;44.0304579455, 5.97280724116;Air;Ammoniac (NH3);33800
8014090;EARL LOUISIANE;3,22E+13;;8310;ANNELLES;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;751100;2494300;012G;Elevage de volailles;;;49.4281041003, 4.41767349267;Air;Ammoniac (NH3);11300
8038090;scea avicole des carrières;4,03E+13;les limons;8300;AVANCON;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;738618;2499150;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.4745016662, 4.24744644934;Air;Ammoniac (NH3);65800
8038091;SCEA DES FAUCHERELLES;4,14E+13;1 rue Faucherelles;8300;AVANCON;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;738618;2499150;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.4745016662, 4.24744644934;Air;Ammoniac (NH3);69000
8111090;EARL DES DUPUIT;4,12E+13;16 route de neuflize;8300;LE CHATELET-SUR-RETOURNE;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;740718;2493048;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.419244431, 4.27431210709;Air;Ammoniac (NH3);136500
8210005;socete agricole gosset;3,88E+13;Les Carrieres;8220;HANNOGNE-SAINT-REMY;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;730498;2513456;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.6046818009, 4.14006951931;Air;Ammoniac (NH3);139800
8250031;EARL Rathueville;3,25E+13;Foisel;8310;LEFFINCOURT;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;760064;2489894;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.38634629, 4.53937653028;Air;Ammoniac (NH3);83400
8287013;EARL VERZEAUX;3,83E+13;2 rue de la vigne;8310;MENIL-LEPINOIS;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;741662;2488556;0111Z;Culture de céréales (à  l'exception du riz) -  de légumineuses et de graines oléagineuses;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.3786952648, 4.28577331721;Air;Ammoniac (NH3);215000
8314003;SCEA 08;4,93E+13;;8300;NEUFLIZE;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;742748;2492215;011A;Culture de céréales  -  cultures industrielles;;;49.4113113962, 4.30196881028;Air;Ammoniac (NH3);110600
8314010;SCEA 08;4,93E+13;La Vigne;8300;NEUFLIZE;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;742748;2492215;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.4113113962, 4.30196881028;Air;Ammoniac (NH3);156200
8314091;EARL DU BOIS D'ARGENT;4,00E+13;rue du bois d'Argent;8300;NEUFLIZE;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;742748;2492215;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.4113113962, 4.30196881028;Air;Ammoniac (NH3);72800
8397090;EARL GENTILS;3,25E+13;Rue principale;8300;SAINT-REMY-LE-PETIT;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;738249;2492463;0150Z;Culture et élevage associés;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.4145327202, 4.24013013472;Air;Ammoniac (NH3);67800
8435023;EARL VAGNIER;3,94E+13;*chemin de NANTIEUL;8300;TAGNON;ARDENNES;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;741490;2495326;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.4395295848, 4.28571641726;Air;Ammoniac (NH3);71900
10075018;SCEA CHAMPFLEURY;7,52E+13;22 -  Bonne Voisine;10700;CHAMPFLEURY;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;723148;2403419;0150Z;Culture et élevage associés;7.(a).(iii);disposant de 750 emplacements pour truies;48.6176579435, 4.00623147518;Air;Ammoniac (NH3);239400
10121023;SCEA de la Buissonnière;3,90E+13;"Lieudit ""La Chapelle""";10240;DAMPIERRE;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;750000;2396600;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);48.5506963939, 4.36777313882;Air;Ammoniac (NH3);235000
10121046;SCA Val du Puits;3,30E+13;route de Bréban;10240;DAMPIERRE;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;750000;2396600;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);48.5506963939, 4.36777313882;Air;Ammoniac (NH3);349600
10256036;SCEA de Promontval;3,90E+13;Hameau de Montardoise;10150;ORTILLON;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;741300;2392100;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);48.5122166021, 4.24852622672;Air;Ammoniac (NH3);427900
10370098;SA GALOR;7,99E+13;LE Vallon;37530;SOUVIGNY-DE-TOURAINE;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;505900;2268700;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;47.4112421706, 1.0895544323;Air;Ammoniac (NH3);204500
10430022;SCEA des Arsons;3,40E+13;route de Mailly;10700;VILLIERS-HERBISSE;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;730900;2405600;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);48.6357319111, 4.11197120688;Air;Ammoniac (NH3);237600
10430500;EARL GUILLAUME Jean-Luc;7,80E+13;;10700;VILLIERS-HERBISSE;AUBE;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;730900;2405600;;non renseigné;;;48.6357319111, 4.11197120688;Air;Ammoniac (NH3);11100
10850718;EARL la vergnaie;3,52E+13;La Vergnaie;85130;LA VERRIE;VENDEE;PAYS DE LA LOIRE;346511;2223300;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.9612006463, -0.995354419268;Air;Ammoniac (NH3);23000
10850858;SCA Le Grand Chaume;3,25E+13;;85600;SAINT-HILAIRE-DE-LOULAY;VENDEE;PAYS DE LA LOIRE;321152;2228952;012G;Elevage de volailles;;;47.0018390888, -1.33167939307;Air;Ammoniac (NH3);14700
10850926;BONNIN Joà«l;4,05E+13;;85500;LES HERBIERS;VENDEE;PAYS DE LA LOIRE;344419;2213278;012J;Elevage d'autres animaux;;;46.8703207706, -1.01720000732;Air;Ammoniac (NH3);10400
10851322;EARL LUMINEAU;3,45E+13;La Turpinière;85700;LA FLOCELLIERE;VENDEE;PAYS DE LA LOIRE;356242;2208711;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8337013829, -0.859797769873;Air;Ammoniac (NH3);20300
10853363;GOSSE Daniel;3,38E+13;;85190;AIZENAY;VENDEE;PAYS DE LA LOIRE;298860;2200874;012G;Elevage de volailles;;;46.7398266238, -1.60593713855;Air;Ammoniac (NH3);10100
10853859;GAEC BARRE FRERES;3,25E+13;;85610;LA BERNARDIERE;VENDEE;PAYS DE LA LOIRE;326412;2234111;012G;Elevage de volailles;;;47.0503884658, -1.26569128428;Air;Ammoniac (NH3);24200
10853981;GAEC GOURAUD;3,43E+13;;85600;LA BOISSIERE-DE-MONTAIGU;VENDEE;PAYS DE LA LOIRE;331352;2222489;012G;Elevage de volailles;;;46.9479590316, -1.19386678238;Air;Ammoniac (NH3);33900
10854129;GAEC GUILLOTEAU;3,93E+13;La Rousselière en Bois;85510;LE BOUPERE;VENDEE;PAYS DE LA LOIRE;351022;2204511;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.7940186096, -0.925883178424;Air;Ammoniac (NH3);25700
10854154;GAEC LE MANOIR;3,91E+13;Le Champ de la Croix;85510;LE BOUPERE;VENDEE;PAYS DE LA LOIRE;351022;2204511;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.7940186096, -0.925883178424;Air;Ammoniac (NH3);37100
10854877;GAEC DU MOULIN;3,14E+13;La Rochette;85670;LA CHAPELLE-PALLUAU;VENDEE;PAYS DE LA LOIRE;297774;2205786;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.7834709221, -1.62336857098;Air;Ammoniac (NH3);65000
10855138;GAEC LES NOUES;4,14E+13;La Foy de L'Etang;85250;CHAVAGNES-EN-PAILLERS;VENDEE;PAYS DE LA LOIRE;326774;2216537;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.892603456, -1.25037724224;Air;Ammoniac (NH3);41300
10855203;AUGUIN Dominique;3,33E+13;;85390;CHEFFOIS;VENDEE;PAYS DE LA LOIRE;360589;2189844;012G;Elevage de volailles;;;46.665673861, -0.793010203493;Air;Ammoniac (NH3);10400
10855747;earl la baudriere;5,21E+13;La Baudrière;85700;LA FLOCELLIERE;VENDEE;PAYS DE LA LOIRE;356242;2208711;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8337013829, -0.859797769873;Air;Ammoniac (NH3);69000
10856259;GAEC LA ROGERIE;4,09E+13;;85500;LES HERBIERS;VENDEE;PAYS DE LA LOIRE;344419;2213278;012G;Elevage de volailles;;;46.8703207706, -1.01720000732;Air;Ammoniac (NH3);31900
10856265;GAEC Sans Frontière;3,79E+13;La Barauderie;85500;LES HERBIERS;VENDEE;PAYS DE LA LOIRE;344419;2213278;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8703207706, -1.01720000732;Air;Ammoniac (NH3);82500
10856700;GAEC Vallée de la Vie;7,86E+13;La Rétière;85190;MACHE;VENDEE;PAYS DE LA LOIRE;292849;2202856;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.7548956399, -1.6858230563;Air;Ammoniac (NH3);63700
10857072;GALLOT Pascal;4,11E+13;;85260;MORMAISON;VENDEE;PAYS DE LA LOIRE;311492;2218737;012G;Elevage de volailles;;;46.9059242522, -1.4520881381;Air;Ammoniac (NH3);26000
10857561;GAEC Les Trois Cantons;3,25E+13;La Bégrie;85320;LES PINEAUX;VENDEE;PAYS DE LA LOIRE;330493;2183211;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.5946014727, -1.18204406822;Air;Ammoniac (NH3);106800
10858010;LOG ELEVAGE;5,05E+13;LA BROSSETTE;85140;CHAUCHE;VENDEE;PAYS DE LA LOIRE;324923;2209711;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8304962829, -1.27053271993;Air;Ammoniac (NH3);47100
10858073;EARL Elevage de la Maine;7,50E+13;102 -  La Racinauzière;85250;SAINT-ANDRE-GOULE-D'OIE;VENDEE;PAYS DE LA LOIRE;330826;2209708;0146Z;Elevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;46.832880014, -1.19323055063;Air;Ammoniac (NH3);107000
10858332;GAEC LIMOUZIN;3,25E+13;Le Breuil;85170;SAINT-DENIS-LA-CHEVASSE;VENDEE;PAYS DE LA LOIRE;318155;2209130;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.8224469621, -1.35879380362;Air;Ammoniac (NH3);46800
10858584;GAEC Le Chataignier;3,30E+13;La Fontaine;85250;SAINT-FULGENT;VENDEE;PAYS DE LA LOIRE;332211;2211589;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8503434916, -1.1761947178;Air;Ammoniac (NH3);25100
10859470;GAEC Le Manoir;3,26E+13;Le Fief Mignoux;85120;SAINT-MAURICE-DES-NOUES;VENDEE;PAYS DE LA LOIRE;365593;2182463;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.6010930841, -0.72390978466;Air;Ammoniac (NH3);81800
10859666;GAEC La Cessière;4,00E+13;La Cessière;85700;SAINT-MICHEL-MONT-MERCURE;VENDEE;PAYS DE LA LOIRE;354485;2208300;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.8293618536, -0.882590487822;Air;Ammoniac (NH3);44000
10859840;EARL L ENERGIE;3,25E+13;;85120;SAINT-PIERRE-DU-CHEMIN;VENDEE;PAYS DE LA LOIRE;367896;2193037;012G;Elevage de volailles;;;46.6969563891, -0.699202284694;Air;Ammoniac (NH3);21000
11138002;SARL LA CLAU;3,98E+13;;11400;FENDEILLE;AUDE;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;568048;1807445;013Z;Culture et élevage associés;;;43.2686969164, 1.94368572828;Air;Ammoniac (NH3);10100
11292003;SICA SARL LA POMAREDE;4,32E+13;Station d'élevage;11400;LA POMAREDE;AUDE;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;568600;1822541;0146Z;Elevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;43.4043717491, 1.94955768609;Air;Ammoniac (NH3);141300
12049111;SASU Le Porc du Maynié;5,32E+13;Le Maynié;12580;CAMPUAC;AVEYRON;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;620000;1952000;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);44.5686440293, 2.58817697968;Air;Ammoniac (NH3);127500
12142051;GAEC DE CASSAN;3,45E+13;;12390;MAYRAN;AVEYRON;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;602112;1931956;;non renseigné;;;44.388673088, 2.36304856628;Air;Ammoniac (NH3);21900
13087700;SOCAER-ETOILE PORCINE;4,20E+13;;13750;ROUSSET;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;866191;1836570;012E;Elevage de porcins;;;43.4811460018, 5.62281522725;Air;Ammoniac (NH3);53400
14124081;DESHAYES Hubert;3,53E+13;La Voie Chopin;14400;ETREHAM;CALVADOS;NORMANDIE;372000;2485000;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.321654605, -0.797817705364;Air;Ammoniac (NH3);124800
